Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15
기간,자치구,동,세대,계,계,계,한국인,한국인,한국인,등록외국인,등록외국인,등록외국인,세대당인구,65세이상고령자
기간,자치구,동,세대,인구,남자,여자,인구,남자,여자,인구,남자,여자,세대당인구,65세이상고령자
2009.3/4,합계,합계,"4,116,591","10,488,327","5,195,548","5,292,779","10,228,160","5,070,764","5,157,396","260,167","124,784","135,383",2.48,"935,318"
2009.3/4,종로구,소계,"74,472","178,352","88,941","89,411","169,306","84,682","84,624","9,046","4,259","4,787",2.27,"20,696"
2009.3/4,종로구,사직동,"4,446","10,467","4,953","5,514","10,035","4,732","5,303",432,221,211,2.26,"1,388"
2009.3/4,종로구,삼청동,"1,637","3,712","1,804","1,908","3,562","1,721","1,841",150,83,67,2.18,576
2009.3/4,종로구,부암동,"4,516","11,641","5,772","5,869","11,357","5,651","5,706",284,121,163,2.51,"1,443"
2009.3/4,종로구,평창동,"7,073","19,815","9,574","10,241","19,402","9,374","10,028",413,200,213,2.74,"2,362"
2009.3/4,종로구,무악동,"3,174","8,720","4,193","4,527","8,623","4,155","4,468",97,38,59,2.72,948
2009.3/4,종로구,교남동,"4,278","9,227","4,543","4,684","8,995","4,434","4,561",232,109,123,2.1,"1,131"
2009.3/4,종로구,가회동,"2,492","6,002","2,891","3,111","5,794","2,798","2,996",208,93,115,2.33,803
2009.3/4,종로구,종로1.2.3.4가동,"4,546","8,561","4,852","3,709","7,293","4,203","3,090","1,268",649,619,1.6,"1,270"
2009.3/4,종로구,종로5·6가동,"3,015","6,673","3,540","3,133","6,338","3,400","2,938",335,140,195,2.1,874
2009.3/4,종로구,이화동,"4,509","10,137","4,915","5,222","9,418","4,574","4,844",719,341,378,2.09,954
2009.3/4,종로구,혜화동,"5,555","12,946","6,285","6,661","12,134","5,925","6,209",812,360,452,2.18,"1,320"
2009.3/4,종로구,명륜3가동,"3,700","7,436","3,956","3,480","6,589","3,583","3,006",847,373,474,1.78,826
2009.3/4,종로구,창신1동,"3,470","8,572","4,391","4,181","6,954","3,628","3,326","1,618",763,855,2,867
2009.3/4,종로구,창신2동,"5,067","12,214","6,202","6,012","11,747","5,971","5,776",467,231,236,2.32,"1,282"
2009.3/4,종로구,창신3동,"3,144","8,679","4,367","4,312","8,599","4,331","4,268",80,36,44,2.74,843
2009.3/4,종로구,숭인1동,"3,177","8,186","4,020","4,166","7,524","3,713","3,811",662,307,355,2.37,765
2009.3/4,종로구,숭인2동,"4,539","9,285","4,782","4,503","9,120","4,710","4,410",165,72,93,2.01,"1,158"
2009.3/4,종로구,청운효자동,"6,134","16,079","7,901","8,178","15,822","7,779","8,043",257,122,135,2.58,"1,886"
2009.3/4,중구,소계,"58,184","138,035","69,106","68,929","129,607","65,054","64,553","8,428","4,052","4,376",2.23,"15,918"
2009.3/4,중구,소공동,586,"1,589",870,719,"1,097",580,517,492,290,202,1.87,138
2009.3/4,중구,회현동,"2,664","5,185","2,900","2,285","4,421","2,476","1,945",764,424,340,1.66,779
2009.3/4,중구,명동,"1,394","3,432","1,609","1,823","2,858","1,285","1,573",574,324,250,2.05,482
2009.3/4,중구,필동,"2,296","5,083","2,685","2,398","4,562","2,441","2,121",521,244,277,1.99,625
2009.3/4,중구,장충동,"2,947","6,342","3,179","3,163","5,765","2,928","2,837",577,251,326,1.96,674
2009.3/4,중구,광희동,"2,696","6,029","3,190","2,839","4,966","2,696","2,270","1,063",494,569,1.84,724
2009.3/4,중구,을지로동,"1,266","2,027","1,231",796,"1,890","1,164",726,137,67,70,1.49,335
2009.3/4,중구,신당1동,"4,105","10,502","5,255","5,247","8,438","4,336","4,102","2,064",919,"1,145",2.06,"1,027"
2009.3/4,중구,신당2동,"7,293","17,267","8,481","8,786","16,991","8,352","8,639",276,129,147,2.33,"1,846"
2009.3/4,중구,신당3동,"8,012","20,003","9,679","10,324","19,781","9,577","10,204",222,102,120,2.47,"2,377"
2009.3/4,중구,신당4동,"6,531","16,556","8,002","8,554","16,393","7,927","8,466",163,75,88,2.51,"1,872"
2009.3/4,중구,신당5동,"3,697","8,418","4,255","4,163","8,183","4,143","4,040",235,112,123,2.21,"1,014"
2009.3/4,중구,신당6동,"3,696","9,907","4,852","5,055","9,772","4,792","4,980",135,60,75,2.64,"1,051"
2009.3/4,중구,황학동,"5,479","12,686","6,430","6,256","11,844","6,041","5,803",842,389,453,2.16,"1,325"
2009.3/4,중구,중림동,"5,522","13,009","6,488","6,521","12,646","6,316","6,330",363,172,191,2.29,"1,649"
2009.3/4,용산구,소계,"107,316","251,528","123,677","127,851","238,823","116,978","121,845","12,705","6,699","6,006",2.23,"27,998"
2009.3/4,용산구,후암동,"8,768","20,534","10,225","10,309","19,944","9,949","9,995",590,276,314,2.27,"2,248"
2009.3/4,용산구,용산2가동,"5,995","14,090","7,034","7,056","13,162","6,501","6,661",928,533,395,2.2,"1,573"
2009.3/4,용산구,남영동,"4,599","8,034","4,644","3,390","7,464","4,365","3,099",570,279,291,1.62,983
2009.3/4,용산구,원효로2동,"6,172","16,331","7,862","8,469","16,111","7,764","8,347",220,98,122,2.61,"1,670"
2009.3/4,용산구,효창동,"4,171","10,746","5,277","5,469","10,605","5,214","5,391",141,63,78,2.54,"1,216"
2009.3/4,용산구,용문동,"4,831","13,069","6,392","6,677","12,876","6,302","6,574",193,90,103,2.67,"1,376"
2009.3/4,용산구,이촌1동,"9,869","28,816","13,695","15,121","27,064","12,706","14,358","1,752",989,763,2.74,"3,000"
2009.3/4,용산구,이촌2동,"4,367","10,509","5,053","5,456","10,472","5,035","5,437",37,18,19,2.4,"1,304"
2009.3/4,용산구,이태원1동,"4,134","10,188","4,984","5,204","8,198","3,842","4,356","1,990","1,142",848,1.98,"1,189"
2009.3/4,용산구,이태원2동,"5,196","11,543","5,545","5,998","11,144","5,315","5,829",399,230,169,2.14,"1,585"
2009.3/4,용산구,서빙고동,"4,829","11,789","5,715","6,074","11,318","5,485","5,833",471,230,241,2.34,"1,629"
